movie_name,movie_date,award_year,award_category,award_person,person_dateofbirth
The Informer,1935-01-01,1936-01-01,FILM EDITING,George Hively,
Les Miserables,1935-01-01,1936-01-01,FILM EDITING,Barbara McLean,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,FILM EDITING,Ellsworth Hoagland,
A Midsummer Night's Dream,1935-01-01,1936-01-01,FILM EDITING,Ralph Dawson,
Mutiny on the Bounty,1935-01-01,1936-01-01,FILM EDITING,Margaret Booth,
Captain Blood,1935-01-01,1936-01-01,MUSIC (Scoring),Warner Bros.-First National Studio Music Department,
The Informer,1935-01-01,1936-01-01,MUSIC (Scoring),RKO Radio Studio Music Department,
Mutiny on the Bounty,1935-01-01,1936-01-01,MUSIC (Scoring),Metro-Goldwyn-Mayer Studio Music Department,
Peter Ibbetson,1935-01-01,1936-01-01,MUSIC (Scoring),Paramount Studio Music Department,
Top Hat,1935-01-01,1936-01-01,MUSIC (Song),Music and Lyrics by Irving Berlin,
Roberta,1935-01-01,1936-01-01,MUSIC (Song),Music by Jerome Kern,
Gold Diggers of 1935,1935-01-01,1936-01-01,MUSIC (Song),Music by Harry Warren,
Alice Adams,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,RKO Radio,
Broadway Melody of 1936,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Captain Blood,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Cosmopolitan,
David Copperfield,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
The Informer,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,RKO Radio,
Les Miserables,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,20th Century,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Paramount,
A Midsummer Night's Dream,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
Mutiny on the Bounty,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Naughty Marietta,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Ruggles of Red Gap,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,Paramount,
Top Hat,1935-01-01,1936-01-01,OUTSTANDING PRODUCTION,RKO Radio,
The Calico Dragon,1935-01-01,1936-01-01,SHORT SUBJECT (Cartoon),Harman-Ising,
Three Orphan Kittens,1935-01-01,1936-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
Who Killed Cock Robin?,1935-01-01,1936-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
How to Sleep,1935-01-01,1936-01-01,SHORT SUBJECT (Comedy),Jack Chertok,
"Oh, My Nerves",1935-01-01,1936-01-01,SHORT SUBJECT (Comedy),Jules White,
Tit for Tat,1935-01-01,1936-01-01,SHORT SUBJECT (Comedy),Hal Roach,
Audioscopiks,1935-01-01,1936-01-01,SHORT SUBJECT (Novelty),Pete Smith,
Camera Thrills,1935-01-01,1936-01-01,SHORT SUBJECT (Novelty),Universal,
Wings over Mt. Everest,1935-01-01,1936-01-01,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions,
Bride of Frankenstein,1935-01-01,1936-01-01,SOUND RECORDING,Universal Studio Sound Department,
Captain Blood,1935-01-01,1936-01-01,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,
The Dark Angel,1935-01-01,1936-01-01,SOUND RECORDING,United Artists Studio Sound Department,
I Dream Too Much,1935-01-01,1936-01-01,SOUND RECORDING,RKO Radio Studio Sound Department,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,SOUND RECORDING,Paramount Studio Sound Department,
Love Me Forever,1935-01-01,1936-01-01,SOUND RECORDING,Columbia Studio Sound Department,
Naughty Marietta,1935-01-01,1936-01-01,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,
"$1,000 a Minute",1935-01-01,1936-01-01,SOUND RECORDING,Republic Studio Sound Department,
Thanks a Million,1935-01-01,1936-01-01,SOUND RECORDING,20th Century-Fox Studio Sound Department,
Broadway Melody of 1936,1935-01-01,1936-01-01,WRITING (Original Story),Moss Hart,
G-Men,1935-01-01,1936-01-01,WRITING (Original Story),Gregory Rogers,
The Gay Deception,1935-01-01,1936-01-01,WRITING (Original Story),Don Hartman,
The Scoundrel,1935-01-01,1936-01-01,WRITING (Original Story),Ben Hecht,
Captain Blood,1935-01-01,1936-01-01,WRITING (Screenplay),Casey Robinson,
The Informer,1935-01-01,1936-01-01,WRITING (Screenplay),Dudley Nichols,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,WRITING (Screenplay),Screenplay by Waldemar Young,
Mutiny on the Bounty,1935-01-01,1936-01-01,WRITING (Screenplay),Talbot Jennings,
Mr. Deeds Goes to Town,1936-01-01,1937-01-01,ACTOR,Gary Cooper,
Dodsworth,1936-01-01,1937-01-01,ACTOR,Walter Huston,
The Story of Louis Pasteur,1936-01-01,1937-01-01,ACTOR,Paul Muni,
My Man Godfrey,1936-01-01,1937-01-01,ACTOR,William Powell,
San Francisco,1936-01-01,1937-01-01,ACTOR,Spencer Tracy,
My Man Godfrey,1936-01-01,1937-01-01,ACTOR IN A SUPPORTING ROLE,Mischa Auer,
Come and Get It,1936-01-01,1937-01-01,ACTOR IN A SUPPORTING ROLE,Walter Brennan,
Pigskin Parade,1936-01-01,1937-01-01,ACTOR IN A SUPPORTING ROLE,Stuart Erwin,
Romeo and Juliet,1936-01-01,1937-01-01,ACTOR IN A SUPPORTING ROLE,Basil Rathbone,
The General Died at Dawn,1936-01-01,1937-01-01,ACTOR IN A SUPPORTING ROLE,Akim Tamiroff,
Theodora Goes Wild,1936-01-01,1937-01-01,ACTRESS,Irene Dunne,
Valiant Is the Word for Carrie,1936-01-01,1937-01-01,ACTRESS,Gladys George,
My Man Godfrey,1936-01-01,1937-01-01,ACTRESS,Carole Lombard,
The Great Ziegfeld,1936-01-01,1937-01-01,ACTRESS,Luise Rainer,
Romeo and Juliet,1936-01-01,1937-01-01,ACTRESS,Norma Shearer,
The Gorgeous Hussy,1936-01-01,1937-01-01,ACTRESS IN A SUPPORTING ROLE,Beulah Bondi,
My Man Godfrey,1936-01-01,1937-01-01,ACTRESS IN A SUPPORTING ROLE,Alice Brady,
These Three,1936-01-01,1937-01-01,ACTRESS IN A SUPPORTING ROLE,Bonita Granville,
Dodsworth,1936-01-01,1937-01-01,ACTRESS IN A SUPPORTING ROLE,Maria Ouspenskaya,
Anthony Adverse,1936-01-01,1937-01-01,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,
Anthony Adverse,1936-01-01,1937-01-01,ART DIRECTION,Anton Grot,
Dodsworth,1936-01-01,1937-01-01,ART DIRECTION,Richard Day,
The Great Ziegfeld,1936-01-01,1937-01-01,ART DIRECTION,Cedric Gibbons,
Lloyds of London,1936-01-01,1937-01-01,ART DIRECTION,William S. Darling,
The Magnificent Brute,1936-01-01,1937-01-01,ART DIRECTION,Albert S. D'Agostino,
Romeo and Juliet,1936-01-01,1937-01-01,ART DIRECTION,Cedric Gibbons,
Winterset,1936-01-01,1937-01-01,ART DIRECTION,Perry Ferguson,
Anthony Adverse,1936-01-01,1937-01-01,ASSISTANT DIRECTOR,William Cannon,
The Charge of the Light Brigade,1936-01-01,1937-01-01,ASSISTANT DIRECTOR,Jack Sullivan,
The Garden of Allah,1936-01-01,1937-01-01,ASSISTANT DIRECTOR,Eric G. Stacey,
The Last of the Mohicans,1936-01-01,1937-01-01,ASSISTANT DIRECTOR,Clem Beauchamp,
San Francisco,1936-01-01,1937-01-01,ASSISTANT DIRECTOR,Joseph Newman,
Anthony Adverse,1936-01-01,1937-01-01,CINEMATOGRAPHY,Gaetano Gaudio,
The General Died at Dawn,1936-01-01,1937-01-01,CINEMATOGRAPHY,Victor Milner,
The Gorgeous Hussy,1936-01-01,1937-01-01,CINEMATOGRAPHY,George Folsey,
Gold Diggers of 1937,1936-01-01,1937-01-01,DANCE DIRECTION,Busby Berkeley,
Cain and Mabel,1936-01-01,1937-01-01,DANCE DIRECTION,Bobby Connolly,
The Great Ziegfeld,1936-01-01,1937-01-01,DANCE DIRECTION,Seymour Felix,
Born to Dance,1936-01-01,1937-01-01,DANCE DIRECTION,Dave Gould,
One in a Million,1936-01-01,1937-01-01,DANCE DIRECTION,Jack Haskell,
Dancing Pirate,1936-01-01,1937-01-01,DANCE DIRECTION,Russell Lewis,
Swing Time,1936-01-01,1937-01-01,DANCE DIRECTION,Hermes Pan,
Dodsworth,1936-01-01,1937-01-01,DIRECTING,William Wyler,
The Great Ziegfeld,1936-01-01,1937-01-01,DIRECTING,Robert Z. Leonard,
Mr. Deeds Goes to Town,1936-01-01,1937-01-01,DIRECTING,Frank Capra,
My Man Godfrey,1936-01-01,1937-01-01,DIRECTING,Gregory La Cava,
San Francisco,1936-01-01,1937-01-01,DIRECTING,W. S. Van Dyke,
Anthony Adverse,1936-01-01,1937-01-01,FILM EDITING,Ralph Dawson,
Come and Get It,1936-01-01,1937-01-01,FILM EDITING,Edward Curtiss,
The Great Ziegfeld,1936-01-01,1937-01-01,FILM EDITING,William S. Gray,
Lloyds of London,1936-01-01,1937-01-01,FILM EDITING,Barbara McLean,
A Tale of Two Cities,1936-01-01,1937-01-01,FILM EDITING,Conrad A. Nervig,
Theodora Goes Wild,1936-01-01,1937-01-01,FILM EDITING,Otto Meyer,
Anthony Adverse,1936-01-01,1937-01-01,MUSIC (Scoring),Warner Bros. Studio Music Department,
The Charge of the Light Brigade,1936-01-01,1937-01-01,MUSIC (Scoring),Warner Bros. Studio Music Department,
The Garden of Allah,1936-01-01,1937-01-01,MUSIC (Scoring),Selznick International Pictures Music Department,
The General Died at Dawn,1936-01-01,1937-01-01,MUSIC (Scoring),Paramount Studio Music Department,
Winterset,1936-01-01,1937-01-01,MUSIC (Scoring),RKO Radio Studio Music Department,
Suzy,1936-01-01,1937-01-01,MUSIC (Song),Music by Walter Donaldson,
Born to Dance,1936-01-01,1937-01-01,MUSIC (Song),Music and Lyrics by Cole Porter,
Trail of the Lonesome Pine,1936-01-01,1937-01-01,MUSIC (Song),Music by Louis Alter,
Pennies from Heaven,1936-01-01,1937-01-01,MUSIC (Song),Music by Arthur Johnston,
Swing Time,1936-01-01,1937-01-01,MUSIC (Song),Music by Jerome Kern,
"Sing, Baby, Sing",1936-01-01,1937-01-01,MUSIC (Song),Music by Richard A. Whiting,
Anthony Adverse,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
Dodsworth,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,
The Great Ziegfeld,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Libeled Lady,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Mr. Deeds Goes to Town,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Columbia,
Romeo and Juliet,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
San Francisco,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
The Story of Louis Pasteur,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Cosmopolitan,
A Tale of Two Cities,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Three Smart Girls,1936-01-01,1937-01-01,OUTSTANDING PRODUCTION,Universal,
The Country Cousin,1936-01-01,1937-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
Old Mill Pond,1936-01-01,1937-01-01,SHORT SUBJECT (Cartoon),Harman-Ising,
Sinbad the Sailor,1936-01-01,1937-01-01,SHORT SUBJECT (Cartoon),Paramount,
Give Me Liberty,1936-01-01,1937-01-01,SHORT SUBJECT (Color),Warner Bros.,
La Fiesta de Santa Barbara,1936-01-01,1937-01-01,SHORT SUBJECT (Color),Lewis Lewyn,
Popular Science J-6-2,1936-01-01,1937-01-01,SHORT SUBJECT (Color),Paramount,
Bored of Education,1936-01-01,1937-01-01,SHORT SUBJECT (One-reel),Hal Roach,
Moscow Moods,1936-01-01,1937-01-01,SHORT SUBJECT (One-reel),Paramount,
"Wanted, a Master",1936-01-01,1937-01-01,SHORT SUBJECT (One-reel),Pete Smith,
Double or Nothing,1936-01-01,1937-01-01,SHORT SUBJECT (Two-reel),Warner Bros.,
Dummy Ache,1936-01-01,1937-01-01,SHORT SUBJECT (Two-reel),RKO Radio,
The Public Pays,1936-01-01,1937-01-01,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,
Banjo on My Knee,1936-01-01,1937-01-01,SOUND RECORDING,20th Century-Fox Studio Sound Department,
The Charge of the Light Brigade,1936-01-01,1937-01-01,SOUND RECORDING,Warner Bros. Studio Sound Department,
Dodsworth,1936-01-01,1937-01-01,SOUND RECORDING,United Artists Studio Sound Department,
General Spanky,1936-01-01,1937-01-01,SOUND RECORDING,Hal Roach Studio Sound Department,
Mr. Deeds Goes to Town,1936-01-01,1937-01-01,SOUND RECORDING,Columbia Studio Sound Department,
San Francisco,1936-01-01,1937-01-01,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,
The Texas Rangers,1936-01-01,1937-01-01,SOUND RECORDING,Paramount Studio Sound Department,
That Girl from Paris,1936-01-01,1937-01-01,SOUND RECORDING,RKO Radio Studio Sound Department,
Three Smart Girls,1936-01-01,1937-01-01,SOUND RECORDING,Universal Studio Sound Department,
Fury,1936-01-01,1937-01-01,WRITING (Original Story),Norman Krasna,
The Great Ziegfeld,1936-01-01,1937-01-01,WRITING (Original Story),William Anthony McGuire,
San Francisco,1936-01-01,1937-01-01,WRITING (Original Story),Robert Hopkins,
The Story of Louis Pasteur,1936-01-01,1937-01-01,WRITING (Original Story),Pierre Collings,
Three Smart Girls,1936-01-01,1937-01-01,WRITING (Original Story),Adele Comandini,
After the Thin Man,1936-01-01,1937-01-01,WRITING (Screenplay),Frances Goodrich,
Dodsworth,1936-01-01,1937-01-01,WRITING (Screenplay),Sidney Howard,
Mr. Deeds Goes to Town,1936-01-01,1937-01-01,WRITING (Screenplay),Robert Riskin,
My Man Godfrey,1936-01-01,1937-01-01,WRITING (Screenplay),Eric Hatch,
The Story of Louis Pasteur,1936-01-01,1937-01-01,WRITING (Screenplay),Pierre Collings,
Conquest,1937-01-01,1938-01-01,ACTOR,Charles Boyer,
A Star Is Born,1937-01-01,1938-01-01,ACTOR,Fredric March,
Night Must Fall,1937-01-01,1938-01-01,ACTOR,Robert Montgomery,
The Life of Emile Zola,1937-01-01,1938-01-01,ACTOR,Paul Muni,
Captains Courageous,1937-01-01,1938-01-01,ACTOR,Spencer Tracy,
The Awful Truth,1937-01-01,1938-01-01,ACTOR IN A SUPPORTING ROLE,Ralph Bellamy,
The Hurricane,1937-01-01,1938-01-01,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,
The Life of Emile Zola,1937-01-01,1938-01-01,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,
Lost Horizon,1937-01-01,1938-01-01,ACTOR IN A SUPPORTING ROLE,H. B. Warner,
Topper,1937-01-01,1938-01-01,ACTOR IN A SUPPORTING ROLE,Roland Young,
The Awful Truth,1937-01-01,1938-01-01,ACTRESS,Irene Dunne,
Camille,1937-01-01,1938-01-01,ACTRESS,Greta Garbo,
A Star Is Born,1937-01-01,1938-01-01,ACTRESS,Janet Gaynor,
The Good Earth,1937-01-01,1938-01-01,ACTRESS,Luise Rainer,
Stella Dallas,1937-01-01,1938-01-01,ACTRESS,Barbara Stanwyck,
In Old Chicago,1937-01-01,1938-01-01,ACTRESS IN A SUPPORTING ROLE,Alice Brady,
Stage Door,1937-01-01,1938-01-01,ACTRESS IN A SUPPORTING ROLE,Andrea Leeds,
Stella Dallas,1937-01-01,1938-01-01,ACTRESS IN A SUPPORTING ROLE,Anne Shirley,
Dead End,1937-01-01,1938-01-01,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,
Night Must Fall,1937-01-01,1938-01-01,ACTRESS IN A SUPPORTING ROLE,Dame May Whitty,
Conquest,1937-01-01,1938-01-01,ART DIRECTION,Cedric Gibbons,
A Damsel in Distress,1937-01-01,1938-01-01,ART DIRECTION,Carroll Clark,
Dead End,1937-01-01,1938-01-01,ART DIRECTION,Richard Day,
Every Day's a Holiday,1937-01-01,1938-01-01,ART DIRECTION,Wiard Ihnen,
The Life of Emile Zola,1937-01-01,1938-01-01,ART DIRECTION,Anton Grot,
Lost Horizon,1937-01-01,1938-01-01,ART DIRECTION,Stephen Goosson,
Manhattan Merry-Go-Round,1937-01-01,1938-01-01,ART DIRECTION,John Victor Mackay,
The Prisoner of Zenda,1937-01-01,1938-01-01,ART DIRECTION,Lyle Wheeler,
Souls at Sea,1937-01-01,1938-01-01,ART DIRECTION,Hans Dreier,
Walter Wanger's Vogues of 1938,1937-01-01,1938-01-01,ART DIRECTION,Alexander Toluboff,
Wee Willie Winkie,1937-01-01,1938-01-01,ART DIRECTION,William S. Darling,
You're a Sweetheart,1937-01-01,1938-01-01,ART DIRECTION,Jack Otterson,
In Old Chicago,1937-01-01,1938-01-01,ASSISTANT DIRECTOR,Robert Webb,
The Life of Emile Zola,1937-01-01,1938-01-01,ASSISTANT DIRECTOR,Russ Saunders,
Lost Horizon,1937-01-01,1938-01-01,ASSISTANT DIRECTOR,C. C. Coleman,
Souls at Sea,1937-01-01,1938-01-01,ASSISTANT DIRECTOR,Hal Walker,
A Star Is Born,1937-01-01,1938-01-01,ASSISTANT DIRECTOR,Eric Stacey,
Dead End,1937-01-01,1938-01-01,CINEMATOGRAPHY,Gregg Toland,
The Good Earth,1937-01-01,1938-01-01,CINEMATOGRAPHY,Karl Freund,
Wings over Honolulu,1937-01-01,1938-01-01,CINEMATOGRAPHY,Joseph Valentine,
Varsity Show,1937-01-01,1938-01-01,DANCE DIRECTION,Busby Berkeley,
"Ready, Willing and Able",1937-01-01,1938-01-01,DANCE DIRECTION,Bobby Connolly,
A Day at the Races,1937-01-01,1938-01-01,DANCE DIRECTION,Dave Gould,
Ali Baba Goes to Town,1937-01-01,1938-01-01,DANCE DIRECTION,Sammy Lee,
Thin Ice,1937-01-01,1938-01-01,DANCE DIRECTION,Harry Losee,
A Damsel in Distress,1937-01-01,1938-01-01,DANCE DIRECTION,Hermes Pan,
Waikiki Wedding,1937-01-01,1938-01-01,DANCE DIRECTION,LeRoy Prinz,
The Awful Truth,1937-01-01,1938-01-01,DIRECTING,Leo McCarey,
The Good Earth,1937-01-01,1938-01-01,DIRECTING,Sidney Franklin,
The Life of Emile Zola,1937-01-01,1938-01-01,DIRECTING,William Dieterle,
Stage Door,1937-01-01,1938-01-01,DIRECTING,Gregory La Cava,
A Star Is Born,1937-01-01,1938-01-01,DIRECTING,William Wellman,
The Awful Truth,1937-01-01,1938-01-01,FILM EDITING,Al Clark,
Captains Courageous,1937-01-01,1938-01-01,FILM EDITING,Elmo Veron,
The Good Earth,1937-01-01,1938-01-01,FILM EDITING,Basil Wrangell,
Lost Horizon,1937-01-01,1938-01-01,FILM EDITING,Gene Havlick,
One Hundred Men and a Girl,1937-01-01,1938-01-01,FILM EDITING,Bernard W. Burton,
The Hurricane,1937-01-01,1938-01-01,MUSIC (Scoring),Samuel Goldwyn Studio Music Department,
In Old Chicago,1937-01-01,1938-01-01,MUSIC (Scoring),20th Century-Fox Studio Music Department,
The Life of Emile Zola,1937-01-01,1938-01-01,MUSIC (Scoring),Warner Bros. Studio Music Department,
Lost Horizon,1937-01-01,1938-01-01,MUSIC (Scoring),Columbia Studio Music Department,
Make a Wish,1937-01-01,1938-01-01,MUSIC (Scoring),Principal Productions,
Maytime,1937-01-01,1938-01-01,MUSIC (Scoring),Metro-Goldwyn-Mayer Studio Music Department,
One Hundred Men and a Girl,1937-01-01,1938-01-01,MUSIC (Scoring),Universal Studio Music Department,
Portia on Trial,1937-01-01,1938-01-01,MUSIC (Scoring),Republic Studio Music Department,
The Prisoner of Zenda,1937-01-01,1938-01-01,MUSIC (Scoring),Selznick International Pictures Music Department,
Quality Street,1937-01-01,1938-01-01,MUSIC (Scoring),RKO Radio Studio Music Department,
Snow White and the Seven Dwarfs,1937-01-01,1938-01-01,MUSIC (Scoring),Walt Disney Studio Music Department,
Something to Sing About,1937-01-01,1938-01-01,MUSIC (Scoring),Grand National Studio Music Department,
Souls at Sea,1937-01-01,1938-01-01,MUSIC (Scoring),Paramount Studio Music Department,
Way Out West,1937-01-01,1938-01-01,MUSIC (Scoring),Hal Roach Studio Music Department,
Mr. Dodd Takes the Air,1937-01-01,1938-01-01,MUSIC (Song),Music by Harry Warren,
Waikiki Wedding,1937-01-01,1938-01-01,MUSIC (Song),Music and Lyrics by Harry Owens,
Walter Wanger's Vogues of 1938,1937-01-01,1938-01-01,MUSIC (Song),Music by Sammy Fain,
Shall We Dance,1937-01-01,1938-01-01,MUSIC (Song),Music by George Gershwin,
Artists and Models,1937-01-01,1938-01-01,MUSIC (Song),Music by Frederick Hollander,
The Awful Truth,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Columbia,
Captains Courageous,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Dead End,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,
The Good Earth,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
In Old Chicago,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,20th Century-Fox,
The Life of Emile Zola,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
Lost Horizon,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Columbia,
One Hundred Men and a Girl,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Universal,
Stage Door,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,RKO Radio,
A Star Is Born,1937-01-01,1938-01-01,OUTSTANDING PRODUCTION,Selznick International Pictures,
Educated Fish,1937-01-01,1938-01-01,SHORT SUBJECT (Cartoon),Paramount,
The Little Match Girl,1937-01-01,1938-01-01,SHORT SUBJECT (Cartoon),Charles Mintz,
The Old Mill,1937-01-01,1938-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
The Man without a Country,1937-01-01,1938-01-01,SHORT SUBJECT (Color),Warner Bros.,
Penny Wisdom,1937-01-01,1938-01-01,SHORT SUBJECT (Color),Pete Smith,
Popular Science J-7-1,1937-01-01,1938-01-01,SHORT SUBJECT (Color),Paramount,
A Night at the Movies,1937-01-01,1938-01-01,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,
The Private Life of the Gannets,1937-01-01,1938-01-01,SHORT SUBJECT (One-reel),Skibo Productions,
Romance of Radium,1937-01-01,1938-01-01,SHORT SUBJECT (One-reel),Pete Smith,
Deep South,1937-01-01,1938-01-01,SHORT SUBJECT (Two-reel),RKO Radio,
Should Wives Work?,1937-01-01,1938-01-01,SHORT SUBJECT (Two-reel),RKO Radio,
Torture Money,1937-01-01,1938-01-01,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,
The Girl Said No,1937-01-01,1938-01-01,SOUND RECORDING,Grand National Studio Sound Department,
Hitting a New High,1937-01-01,1938-01-01,SOUND RECORDING,RKO Radio Studio Sound Department,
The Hurricane,1937-01-01,1938-01-01,SOUND RECORDING,United Artists Studio Sound Department,
In Old Chicago,1937-01-01,1938-01-01,SOUND RECORDING,20th Century-Fox Studio Sound Department,
The Life of Emile Zola,1937-01-01,1938-01-01,SOUND RECORDING,Warner Bros. Studio Sound Department,
Lost Horizon,1937-01-01,1938-01-01,SOUND RECORDING,Columbia Studio Sound Department,
Maytime,1937-01-01,1938-01-01,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,
One Hundred Men and a Girl,1937-01-01,1938-01-01,SOUND RECORDING,Universal Studio Sound Department,
Topper,1937-01-01,1938-01-01,SOUND RECORDING,Hal Roach Studio Sound Department,
Wells Fargo,1937-01-01,1938-01-01,SOUND RECORDING,Paramount Studio Sound Department,
Black Legion,1937-01-01,1938-01-01,WRITING (Original Story),Robert Lord,
In Old Chicago,1937-01-01,1938-01-01,WRITING (Original Story),Niven Busch,
The Life of Emile Zola,1937-01-01,1938-01-01,WRITING (Original Story),Heinz Herald,
One Hundred Men and a Girl,1937-01-01,1938-01-01,WRITING (Original Story),Hans Kraly,
A Star Is Born,1937-01-01,1938-01-01,WRITING (Original Story),William A. Wellman,
The Awful Truth,1937-01-01,1938-01-01,WRITING (Screenplay),Vina Delmar,
Captains Courageous,1937-01-01,1938-01-01,WRITING (Screenplay),John Lee Mahin,
The Life of Emile Zola,1937-01-01,1938-01-01,WRITING (Screenplay),Norman Reilly Raine,
Stage Door,1937-01-01,1938-01-01,WRITING (Screenplay),Morris Ryskind,
A Star Is Born,1937-01-01,1938-01-01,WRITING (Screenplay),Dorothy Parker,
Algiers,1938-01-01,1939-01-01,ACTOR,Charles Boyer,
Angels with Dirty Faces,1938-01-01,1939-01-01,ACTOR,James Cagney,
The Citadel,1938-01-01,1939-01-01,ACTOR,Robert Donat,
Pygmalion,1938-01-01,1939-01-01,ACTOR,Leslie Howard,
Boys Town,1938-01-01,1939-01-01,ACTOR,Spencer Tracy,
Kentucky,1938-01-01,1939-01-01,ACTOR IN A SUPPORTING ROLE,Walter Brennan,
Four Daughters,1938-01-01,1939-01-01,ACTOR IN A SUPPORTING ROLE,John Garfield,
Algiers,1938-01-01,1939-01-01,ACTOR IN A SUPPORTING ROLE,Gene Lockhart,
Marie Antoinette,1938-01-01,1939-01-01,ACTOR IN A SUPPORTING ROLE,Robert Morley,
If I Were King,1938-01-01,1939-01-01,ACTOR IN A SUPPORTING ROLE,Basil Rathbone,
White Banners,1938-01-01,1939-01-01,ACTRESS,Fay Bainter,
Jezebel,1938-01-01,1939-01-01,ACTRESS,Bette Davis,
