movie_name,movie_date,director
Retfærdighedens ryttere,1970,Anders Thomas Jensen
Lone Survivor,1970,Peter Berg
Source Code,1970,Duncan Jones
Grindhouse,1970,Directors:Robert Rodriguez
Grindhouse,1970,Eli Roth
Grindhouse,1970,Quentin Tarantino
Grindhouse,1970,Edgar Wright
Grindhouse,1970,Rob Zombie
Dalkomhan insaeng,1970,Jee-woon Kim
Jodhaa Akbar,1970,Ashutosh Gowariker
Scott Pilgrim vs. the World,1970,Edgar Wright
Munich,1970,Steven Spielberg
Shi mian mai fu,1970,Yimou Zhang
Harry Potter and the Order of the Phoenix,1970,David Yates
Collateral,1970,Michael Mann
Zatôichi,1970,Takeshi Kitano
Jui kuen II,1970,Directors:Chia-Liang Liu
Jui kuen II,1970,Jackie Chan
The Crow,1970,Alex Proyas
Total Recall,1970,Paul Verhoeven
The Hunt for Red October,1970,John McTiernan
Batman,1970,Tim Burton
Midnight Run,1970,Martin Brest
Ging chaat goo si,1970,Directors:Jackie Chan
Ging chaat goo si,1970,Chi-Hwa Chen
Indiana Jones and the Temple of Doom,1970,Steven Spielberg
The Warriors,1970,Walter Hill
Tora! Tora! Tora!,1970,Directors:Richard Fleischer
Tora! Tora! Tora!,1970,Kinji Fukasaku
Tora! Tora! Tora!,1970,Toshio Masuda
Tora! Tora! Tora!,1970,Akira Kurosawa
It's a Mad Mad Mad Mad World,1970,Stanley Kramer
The Guns of Navarone,1970,J. Lee Thompson
Shang-Chi and the Legend of the Ten Rings,1970,Destin Daniel Cretton
Nobody,1970,Ilya Naishuller
Spider-Man: Far from Home,1970,Jon Watts
John Wick: Chapter 3 - Parabellum,1970,Chad Stahelski
John Wick: Chapter 2,1970,Chad Stahelski
The Last Duel,1970,Ridley Scott
War for the Planet of the Apes,1970,Matt Reeves
John Wick,1970,Directors:Chad Stahelski
John Wick,1970,David Leitch
Predestination,1970,Directors:Michael Spierig
Predestination,1970,Peter Spierig
How to Train Your Dragon: The Hidden World,1970,Dean DeBlois
Mission: Impossible - Rogue Nation,1970,Christopher McQuarrie
Spider-Man: Homecoming,1970,Jon Watts
Rurôni Kenshin: Meiji kenkaku roman tan,1970,Keishi Otomo
Ready Player One,1970,Steven Spielberg
Sherlock Holmes: A Game of Shadows,1970,Guy Ritchie
Samâ uôzu,1970,Mamoru Hosoda
Looper,1970,Rian Johnson
Mission: Impossible - Ghost Protocol,1970,Brad Bird
Law Abiding Citizen,1970,F. Gary Gray
Black Dynamite,1970,Scott Sanders
Wonder Woman,1970,Patty Jenkins
L'ennemi public n°1,1970,Jean-François Richet
A History of Violence,1970,David Cronenberg
Spider-Man 2,1970,Sam Raimi
Open Range,1970,Kevin Costner
Master and Commander: The Far Side of the World,1970,Peter Weir
X2,1970,Bryan Singer
Spider-Man,1970,Sam Raimi
The Rock,1970,Michael Bay
Thief,1970,Michael Mann
Zui quan,1970,Woo-Ping Yuen
Superman,1970,Richard Donner
Get Carter,1970,Mike Hodges
Bullitt,1970,Peter Yates
From Russia with Love,1970,Terence Young
El Camino: A Breaking Bad Movie,1970,Vince Gilligan
DC League of Super-Pets,1970,Directors:Jared Stern
DC League of Super-Pets,1970,Sam J. Levine
Tenet,1970,Christopher Nolan
Raya and the Last Dragon,1970,Directors:Don Hall
Raya and the Last Dragon,1970,Carlos López Estrada
Raya and the Last Dragon,1970,Paul Briggs
Raya and the Last Dragon,1970,John Ripa
Patriots Day,1970,Peter Berg
13 Hours,1970,Michael Bay
The Lego Batman Movie,1970,Chris McKay
