movie_name,budget,revenue
Tomorrow Never Dies,,
The Lost World: Jurassic Park,63000000,
Air Force One,,
Executive Decision,,
The Quick and the Dead,32000000,
Cliffhanger,,
Under Siege,,
The Rocketeer,,
Young Guns II,,
Beverly Hills Cop II,14000000,
Rambo: First Blood Part II,,
Octopussy,27500000,
Flash Gordon,,
Diamonds Are Forever,,
Batman: The Movie,,
Way Down,,
Greenland,,
Peppermint,,
Revenge,,
Angel Has Fallen,,
The Angry Birds Movie 2,,
Escape Room,,
Batman: The Killing Joke,,
Shaft,,
Now You See Me 2,,
Batman v Superman: Dawn of Justice,,
The Purge: Anarchy,9000000,
Lucy,,
Son of a Gun,,
Need for Speed,30000000,
Live by Night,,
The Rover,,
Redirected,58000000,
Valerian and the City of a Thousand Planets,,
Dead Man Down,,
Pain & Gain,,
Tomorrowland,,
Let's Be Cops,,
How I Live Now,,
Kill List,,
Colombiana,,
Here Comes the Boom,,
Savages,,
Act of Valor,,
Contraband,,
Triple Frontier,,
Killer Elite,70000000,
Faster,,
Predators,,
Riddick,105000000,
The Expendables,100000000,
Army of Thieves,,
The Lone Ranger,,
Black Death,,
From Paris with Love,,
Baiohazâdo: Dijenerêshon,,
The Taking of Pelham 123,,
Thor: Love and Thunder,,
Salt,,
Monsters vs. Aliens,11000000,
Snitch,,
Godzilla,,
Death Race,,
Hancock,,
Daybreakers,20000000,
Dnevnoy dozor,,
Nochnoy dozor,,
Chaos,,
The Punisher,33000000,
The Day After Tomorrow,,
Blood Work,,
Ned Kelly,,
Basic,50000000,
Star Trek: Nemesis,,
Rat Race,48000000,
The Mummy Returns,,
The Perfect Storm,,
Final Fantasy: The Spirits Within,137000000,
The Sum of All Fears,,
Behind Enemy Lines,,
The World Is Not Enough,135000000,
The Siege,,
Star Trek: Insurrection,,
The Jackal,,
Twister,,
Last Man Standing,,
DragonHeart,,
The Prophecy,,
Just Cause,,
Last Action Hero,85000000,
Alien³,11000000,
Darkman,,
Tango & Cash,55000000,
Lock Up,175000000,
Kickboxer,1500000,
The Omega Man,,
Eternals,,
My Spy,,
Red Notice,58000000,
Guns Akimbo,,
The King's Man,,
7500,,
ARQ,,
Bright,,
Ocean's Eight,,
Godzilla vs. Kong,,
Free Fire,7000000,
Polar,,
The Shallows,17000000,
Maze Runner: The Scorch Trials,,
Risen,,
Criminal,,
Bastille Day,,
White House Down,150000000,
Spectral,,
Mr. Right,,
Angry Birds,,
Unlocked,,
Scouts Guide to the Zombie Apocalypse,,
Triple 9,,
Johnny English Reborn,,
This Means War,,
The Commuter,,
The Last Stand,,
Underworld: Awakening,,
Central Intelligence,50000000,
Uncharted,,
The American,,
Tomb Raider,,
Jack the Giant Slayer,,
Terminator Genisys,,
Ghost in the Shell,,
The Necessary Death of Charlie Countryman,,
Ninja Assassin,,
Death Wish,,
#Saraitda,,
Repo Men,,
Centurion,,
Knight and Day,,
Surrogates,,
The Collector,,
The Losers,25000000,
Beowulf,,
Spider-Man 3,,
Sky High,,
Assault on Precinct 13,100000,
Transporter 2,,
Astro Boy,,
Revolver,,
King Arthur,,
Paycheck,,
Once Upon a Time in Mexico,,
Proof of Life,,
The 51st State,,
Miss Congeniality,,
Terminator 3: Rise of the Machines,,
Osmosis Jones,,
Blue Streak,,
Entrapment,,
Nick of Time,,
Assassins,,
The Three Musketeers,,
The Bodyguard,,
Predator 2,,
A View to a Kill,,
The Black Cauldron,36000000,
